DEAL_ID,COMPANY_ID_NUMERIC_DEAL_DATE_FACT,DEAL_STAGE_DATE,OPPORTUNITY_(DEAL),OPPORTUNITY_AMOUNT,BUSINESS_CASE_PROPOSAL,BUSINESS_CASE_PROPOSAL_AMOUNT,DEAL_STAGE_NEGOTIATION_DATE,NEGOTIATION,NEGOTIATION_AMOUNT,DEAL_STAGE_VERBAL_AGREEMENT_DATE,VERBAL_AGREEMENT,VERBAL_AGREEMENT_AMOUNT,DEAL_STAGE_CLOSED_LOST_DATE,CLOSED_LOST,CLOSED_LOST_AMOUNT,DEAL_ID_BOOKING_FACT,BOOKING,BOOKING_AMOUNT
198074002350,2227440297,2021-10-12 20:18:05.044,1,,,,,,,,,,,,,,,
197993780520,1708588662,2021-10-12 00:00:00.000,1,2250,,,,,,,,,,,,,,
197993664150,1279357134,2021-10-12 00:00:00.000,1,2812.5,,,,,,,,,,,,,,
197965057890,12688275396,2021-10-12 12:00:50.621,1,,,,,,,,,,,,,,,
197634628740,15060249819,2021-10-11 13:41:41.805,1,,,,,,,,,,,,,,,
197607114390,5082151776,2021-10-11 12:32:06.262,1,4687.5,,,,,,,,,,,,,,
197601328380,16893671100,2021-10-11 00:00:00.000,1,3515.625,,,,,,,,,,,,,,
1038326460,1840404891,2016-08-02 09:10:27.378,1,4687.5,,,,,,,,,,,,,,
1115839020,2865891744,2016-07-26 07:53:16.292,1,18750,,,,,,,,,,,,,,
9891642930,840654228,2018-11-06 00:00:00.000,1,335.625,,,,,,,,,,,,,,
30777576030,6794676831,2019-09-17 00:00:00.000,1,6562.5,,,,,,,,,,,,,,
29189539170,2769934863,2019-08-30 00:00:00.000,1,4687.5,,,,,,,,,,,,,,
11305925280,2020433079,2018-10-08 07:31:08.559,1,841.875,,,,,,,,,,,,,,
8531190990,2325503196,2018-04-20 07:13:12.360,1,3375,,,,,,,,,,,,,,
35725042890,7445773620,2019-11-21 00:00:00.000,1,2812.5,,,,,,,,,,,,,,
14657235510,3534779163,2019-02-12 00:00:00.000,1,3187.5,,,,,,,,,,,,,,
8649775440,2336419767,2018-04-27 00:00:00.000,1,3375,1,4000,,,,,,,,,,,,
5919498690,2470449696,2017-10-08 00:00:00.000,1,2343.75,,,,,,,,,,,,,,
97899022590,13338502302,2020-10-29 00:00:00.000,1,3121.875,,,,,,,,,,,,,,
8819013300,805893966,2018-05-09 13:13:32.034,1,937.5,,,,,,,,,,,,,,
24378239220,6134970009,2019-06-21 00:00:00.000,1,2812.5,1,3333.333333333,,,,,,,,,,,,
15883693170,2694389961,2019-02-14 15:27:52.941,1,2812.5,,,,,,,,,,,,,,
34571402550,7505703057,2019-11-08 00:00:00.000,1,1875,,,,,,,,,,,,,,
11652304800,3046523160,2018-10-25 13:08:08.831,1,2812.5,,,,,,,,,,,,,,
5253440370,1267405131,2017-07-17 00:00:00.000,1,18750,,,,,,,,,,,,,,
18660868140,5255197335,2019-03-21 10:07:28.958,1,7183.125,,,,,,,,,,,,,,
552824580,541704960,2016-03-11 07:36:59.898,1,3181.875,,,,,,,,,,,,,,
35437092480,"No company assigned to that deal. That is wrong. Please, contact RevOps.",2019-11-18 00:00:00.000,,,,,,,,,,,,,,,,
11895147480,3045145860,2018-11-05 10:34:14.260,1,3750,,,,,,,,,,,,,,
37133424240,6585405585,2019-12-03 00:00:00.000,1,2812.5,1,3333.333333333,,,,,,,,,,,,
1207792050,748907955,2016-07-13 12:45:18.197,1,4500,,,,,,,,,,,,,,
38029914000,419680479,2019-12-10 00:00:00.000,1,2812.5,,,,,,,,,,,,,,
1650715680,764861721,2016-11-28 08:48:13.573,1,4125,,,,,,,,,,,,,,
